"Date","Price","Open","High","Low","Change %"
"Sep 18, 2020","6.111","6.132","6.132","6.089","-0.57%"
"Sep 17, 2020","6.146","6.136","6.178","6.111","0.47%"
"Sep 16, 2020","6.117","6.170","6.170","6.115","-0.29%"
"Sep 15, 2020","6.135","6.170","6.170","6.120","0.07%"
"Sep 14, 2020","6.131","6.187","6.187","6.131","-0.11%"
"Sep 11, 2020","6.138","6.179","6.179","6.133","0.26%"
"Sep 10, 2020","6.122","6.139","6.139","6.092","0.54%"
"Sep 09, 2020","6.089","6.126","6.138","6.089","-0.78%"
"Sep 08, 2020","6.137","6.139","6.156","6.073","1.45%"
"Sep 07, 2020","6.049","6.008","6.090","5.996","0.95%"
"Sep 04, 2020","5.992","6.057","6.057","5.953","0.03%"
"Sep 03, 2020","5.990","6.042","6.042","5.970","-0.98%"
"Sep 02, 2020","6.049","6.141","6.141","6.039","0.23%"
"Sep 01, 2020","6.035","6.018","6.125","6.018","-2.83%"
"Aug 31, 2020","6.211","6.274","6.308","6.208","-0.35%"
"Aug 28, 2020","6.233","6.308","6.350","6.225","0.13%"
"Aug 27, 2020","6.225","6.308","6.308","6.206","0.79%"
"Aug 26, 2020","6.176","6.226","6.309","6.151","0.21%"
"Aug 25, 2020","6.163","6.201","6.201","6.148","-0.61%"
"Aug 24, 2020","6.201","6.177","6.251","6.162","1.47%"
"Aug 21, 2020","6.111","6.023","6.144","6.019","2.02%"
"Aug 20, 2020","5.990","6.014","6.014","5.990","-0.18%"
"Aug 19, 2020","6.001","6.062","6.062","6.001","0.15%"
"Aug 18, 2020","5.992","6.047","6.047","5.982","0.13%"
"Aug 17, 2020","5.984","6.039","6.039","5.976","0.15%"
"Aug 14, 2020","5.975","5.999","5.999","5.962","0.81%"
"Aug 13, 2020","5.927","5.935","5.935","5.924","-0.02%"
"Aug 12, 2020","5.928","5.984","5.984","5.928","-0.03%"
"Aug 11, 2020","5.930","5.960","5.960","5.923","-0.17%"
"Aug 10, 2020","5.940","5.948","5.965","5.940","0.10%"
"Aug 07, 2020","5.934","5.921","5.936","5.900","0.70%"
"Aug 06, 2020","5.893","5.890","5.938","5.856","0.60%"
"Aug 05, 2020","5.858","5.906","5.906","5.858","-0.22%"
"Aug 04, 2020","5.871","5.898","5.898","5.864","0.05%"
"Aug 03, 2020","5.868","5.891","5.891","5.864","2.53%"
"Jul 31, 2020","5.723","5.735","5.743","5.696","0.32%"
"Jul 30, 2020","5.705","5.753","5.753","5.705","-0.17%"
"Jul 29, 2020","5.715","5.762","5.762","5.715","-0.21%"
"Jul 28, 2020","5.727","5.753","5.797","5.727","0.07%"
"Jul 27, 2020","5.723","5.754","5.754","5.700","0.79%"
"Jul 24, 2020","5.678","5.700","5.700","5.676","0.07%"
"Jul 23, 2020","5.674","5.695","5.695","5.674","-0.16%"
"Jul 22, 2020","5.683","5.693","5.693","5.671","0.18%"
